car,model_year,country,attribute,value
chevrolet chevelle malibu,1970,USA,No. of Cylinders,8.0
buick skylark 320,1970,USA,No. of Cylinders,8.0
plymouth satellite,1970,USA,No. of Cylinders,8.0
amc rebel sst,1970,USA,No. of Cylinders,8.0
ford torino,1970,USA,No. of Cylinders,8.0
ford galaxie 500,1970,USA,No. of Cylinders,8.0
chevrolet impala,1970,USA,No. of Cylinders,8.0
plymouth fury iii,1970,USA,No. of Cylinders,8.0
pontiac catalina,1970,USA,No. of Cylinders,8.0
amc ambassador dpl,1970,USA,No. of Cylinders,8.0
dodge challenger se,1970,USA,No. of Cylinders,8.0
plymouth 'cuda 340,1970,USA,No. of Cylinders,8.0
chevrolet monte carlo,1970,USA,No. of Cylinders,8.0
buick estate wagon (sw),1970,USA,No. of Cylinders,8.0
toyota corona mark ii,1970,Japan,No. of Cylinders,4.0
plymouth duster,1970,USA,No. of Cylinders,6.0
amc hornet,1970,USA,No. of Cylinders,6.0
ford maverick,1970,USA,No. of Cylinders,6.0
datsun pl510,1970,Japan,No. of Cylinders,4.0
volkswagen 1131 deluxe sedan,1970,Europe,No. of Cylinders,4.0
peugeot 504,1970,Europe,No. of Cylinders,4.0
audi 100 ls,1970,Europe,No. of Cylinders,4.0
saab 99e,1970,Europe,No. of Cylinders,4.0
bmw 2002,1970,Europe,No. of Cylinders,4.0
amc gremlin,1970,USA,No. of Cylinders,6.0
ford f250,1970,USA,No. of Cylinders,8.0
chevy c20,1970,USA,No. of Cylinders,8.0
dodge d200,1970,USA,No. of Cylinders,8.0
hi 1200d,1970,USA,No. of Cylinders,8.0
datsun pl510,1971,Japan,No. of Cylinders,4.0
chevrolet vega 2300,1971,USA,No. of Cylinders,4.0
toyota corona,1971,Japan,No. of Cylinders,4.0
ford pinto,1971,USA,No. of Cylinders,4.0
amc gremlin,1971,USA,No. of Cylinders,6.0
plymouth satellite custom,1971,USA,No. of Cylinders,6.0
chevrolet chevelle malibu,1971,USA,No. of Cylinders,6.0
ford torino 500,1971,USA,No. of Cylinders,6.0
amc matador,1971,USA,No. of Cylinders,6.0
chevrolet impala,1971,USA,No. of Cylinders,8.0
pontiac catalina brougham,1971,USA,No. of Cylinders,8.0
ford galaxie 500,1971,USA,No. of Cylinders,8.0
plymouth fury iii,1971,USA,No. of Cylinders,8.0
dodge monaco (sw),1971,USA,No. of Cylinders,8.0
ford country squire (sw),1971,USA,No. of Cylinders,8.0
pontiac safari (sw),1971,USA,No. of Cylinders,8.0
amc hornet sportabout (sw),1971,USA,No. of Cylinders,6.0
chevrolet vega (sw),1971,USA,No. of Cylinders,4.0
pontiac firebird,1971,USA,No. of Cylinders,6.0
ford mustang,1971,USA,No. of Cylinders,6.0
mercury capri 2000,1971,USA,No. of Cylinders,4.0
opel 1900,1971,Europe,No. of Cylinders,4.0
peugeot 304,1971,Europe,No. of Cylinders,4.0
fiat 124b,1971,Europe,No. of Cylinders,4.0
toyota corolla 1200,1971,Japan,No. of Cylinders,4.0
datsun 1200,1971,Japan,No. of Cylinders,4.0
volkswagen model 111,1971,Europe,No. of Cylinders,4.0
plymouth cricket,1971,USA,No. of Cylinders,4.0
toyota corona hardtop,1972,Japan,No. of Cylinders,4.0
dodge colt hardtop,1972,USA,No. of Cylinders,4.0
volkswagen type 3,1972,Europe,No. of Cylinders,4.0
chevrolet vega,1972,USA,No. of Cylinders,4.0
ford pinto runabout,1972,USA,No. of Cylinders,4.0
chevrolet impala,1972,USA,No. of Cylinders,8.0
pontiac catalina,1972,USA,No. of Cylinders,8.0
plymouth fury iii,1972,USA,No. of Cylinders,8.0
ford galaxie 500,1972,USA,No. of Cylinders,8.0
amc ambassador sst,1972,USA,No. of Cylinders,8.0
mercury marquis,1972,USA,No. of Cylinders,8.0
buick lesabre custom,1972,USA,No. of Cylinders,8.0
oldsmobile delta 88 royale,1972,USA,No. of Cylinders,8.0
chrysler newport royal,1972,USA,No. of Cylinders,8.0
mazda rx2 coupe,1972,Japan,No. of Cylinders,3.0
amc matador (sw),1972,USA,No. of Cylinders,8.0
chevrolet chevelle concours (sw),1972,USA,No. of Cylinders,8.0
ford gran torino (sw),1972,USA,No. of Cylinders,8.0
plymouth satellite custom (sw),1972,USA,No. of Cylinders,8.0
volvo 145e (sw),1972,Europe,No. of Cylinders,4.0
volkswagen 411 (sw),1972,Europe,No. of Cylinders,4.0
peugeot 504 (sw),1972,Europe,No. of Cylinders,4.0
renault 12 (sw),1972,Europe,No. of Cylinders,4.0
ford pinto (sw),1972,USA,No. of Cylinders,4.0
datsun 510 (sw),1972,Japan,No. of Cylinders,4.0
toyouta corona mark ii (sw),1972,Japan,No. of Cylinders,4.0
dodge colt (sw),1972,USA,No. of Cylinders,4.0
toyota corolla 1600 (sw),1972,Japan,No. of Cylinders,4.0
buick century 350,1973,USA,No. of Cylinders,8.0
amc matador,1973,USA,No. of Cylinders,8.0
chevrolet malibu,1973,USA,No. of Cylinders,8.0
ford gran torino,1973,USA,No. of Cylinders,8.0
dodge coronet custom,1973,USA,No. of Cylinders,8.0
mercury marquis brougham,1973,USA,No. of Cylinders,8.0
chevrolet caprice classic,1973,USA,No. of Cylinders,8.0
ford ltd,1973,USA,No. of Cylinders,8.0
plymouth fury gran sedan,1973,USA,No. of Cylinders,8.0
chrysler new yorker brougham,1973,USA,No. of Cylinders,8.0
buick electra 225 custom,1973,USA,No. of Cylinders,8.0
amc ambassador brougham,1973,USA,No. of Cylinders,8.0
plymouth valiant,1973,USA,No. of Cylinders,6.0
chevrolet nova custom,1973,USA,No. of Cylinders,6.0
amc hornet,1973,USA,No. of Cylinders,6.0
ford maverick,1973,USA,No. of Cylinders,6.0
plymouth duster,1973,USA,No. of Cylinders,6.0
volkswagen super beetle,1973,Europe,No. of Cylinders,4.0
chevrolet impala,1973,USA,No. of Cylinders,8.0
ford country,1973,USA,No. of Cylinders,8.0
plymouth custom suburb,1973,USA,No. of Cylinders,8.0
oldsmobile vista cruiser,1973,USA,No. of Cylinders,8.0
amc gremlin,1973,USA,No. of Cylinders,6.0
toyota carina,1973,Japan,No. of Cylinders,4.0
chevrolet vega,1973,USA,No. of Cylinders,4.0
datsun 610,1973,Japan,No. of Cylinders,4.0
maxda rx3,1973,Japan,No. of Cylinders,3.0
ford pinto,1973,USA,No. of Cylinders,4.0
mercury capri v6,1973,USA,No. of Cylinders,6.0
fiat 124 sport coupe,1973,Europe,No. of Cylinders,4.0
chevrolet monte carlo s,1973,USA,No. of Cylinders,8.0
pontiac grand prix,1973,USA,No. of Cylinders,8.0
fiat 128,1973,Europe,No. of Cylinders,4.0
opel manta,1973,Europe,No. of Cylinders,4.0
audi 100ls,1973,Europe,No. of Cylinders,4.0
volvo 144ea,1973,Europe,No. of Cylinders,4.0
dodge dart custom,1973,USA,No. of Cylinders,8.0
saab 99le,1973,Europe,No. of Cylinders,4.0
toyota mark ii,1973,Japan,No. of Cylinders,6.0
oldsmobile omega,1973,USA,No. of Cylinders,8.0
plymouth duster,1974,USA,No. of Cylinders,6.0
ford maverick,1974,USA,No. of Cylinders,6.0
amc hornet,1974,USA,No. of Cylinders,6.0
chevrolet nova,1974,USA,No. of Cylinders,6.0
datsun b210,1974,Japan,No. of Cylinders,4.0
ford pinto,1974,USA,No. of Cylinders,4.0
toyota corolla 1200,1974,Japan,No. of Cylinders,4.0
chevrolet vega,1974,USA,No. of Cylinders,4.0
chevrolet chevelle malibu classic,1974,USA,No. of Cylinders,6.0
amc matador,1974,USA,No. of Cylinders,6.0
plymouth satellite sebring,1974,USA,No. of Cylinders,6.0
ford gran torino,1974,USA,No. of Cylinders,8.0
buick century luxus (sw),1974,USA,No. of Cylinders,8.0
dodge coronet custom (sw),1974,USA,No. of Cylinders,8.0
ford gran torino (sw),1974,USA,No. of Cylinders,8.0
amc matador (sw),1974,USA,No. of Cylinders,8.0
audi fox,1974,Europe,No. of Cylinders,4.0
volkswagen dasher,1974,Europe,No. of Cylinders,4.0
opel manta,1974,Europe,No. of Cylinders,4.0
toyota corona,1974,Japan,No. of Cylinders,4.0
datsun 710,1974,Japan,No. of Cylinders,4.0
dodge colt,1974,USA,No. of Cylinders,4.0
fiat 128,1974,Europe,No. of Cylinders,4.0
fiat 124 tc,1974,Europe,No. of Cylinders,4.0
honda civic,1974,Japan,No. of Cylinders,4.0
subaru,1974,Japan,No. of Cylinders,4.0
fiat x1.9,1974,Europe,No. of Cylinders,4.0
plymouth valiant custom,1975,USA,No. of Cylinders,6.0
chevrolet nova,1975,USA,No. of Cylinders,6.0
mercury monarch,1975,USA,No. of Cylinders,6.0
ford maverick,1975,USA,No. of Cylinders,6.0
pontiac catalina,1975,USA,No. of Cylinders,8.0
chevrolet bel air,1975,USA,No. of Cylinders,8.0
plymouth grand fury,1975,USA,No. of Cylinders,8.0
ford ltd,1975,USA,No. of Cylinders,8.0
buick century,1975,USA,No. of Cylinders,6.0
chevroelt chevelle malibu,1975,USA,No. of Cylinders,6.0
amc matador,1975,USA,No. of Cylinders,6.0
plymouth fury,1975,USA,No. of Cylinders,6.0
buick skyhawk,1975,USA,No. of Cylinders,6.0
chevrolet monza 2+2,1975,USA,No. of Cylinders,8.0
ford mustang ii,1975,USA,No. of Cylinders,8.0
toyota corolla,1975,Japan,No. of Cylinders,4.0
ford pinto,1975,USA,No. of Cylinders,4.0
amc gremlin,1975,USA,No. of Cylinders,6.0
pontiac astro,1975,USA,No. of Cylinders,4.0
toyota corona,1975,Japan,No. of Cylinders,4.0
volkswagen dasher,1975,Europe,No. of Cylinders,4.0
datsun 710,1975,Japan,No. of Cylinders,4.0
ford pinto,1975,USA,No. of Cylinders,6.0
volkswagen rabbit,1975,Europe,No. of Cylinders,4.0
amc pacer,1975,USA,No. of Cylinders,6.0
audi 100ls,1975,Europe,No. of Cylinders,4.0
peugeot 504,1975,Europe,No. of Cylinders,4.0
